Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
02/06/2023 ;13:18:05 ; 224,3 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:10 ; 224,6 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:15 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:20 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:25 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:30 ; 223,6 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:35 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:40 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:45 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:50 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:18:55 ; 224,4 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:00 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:05 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:10 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:15 ; 223,8 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:20 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:25 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:30 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:35 ; 224,9 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:40 ; 224,3 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:45 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:50 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:19:55 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:00 ; 224 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:05 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:10 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:15 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:20 ; 225,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:25 ; 224,2 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;13:20:30 ; 224,1 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
