Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
02/06/2023 ;18:51:15 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:20 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:25 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:30 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:35 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:40 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:45 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:50 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:51:55 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:00 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:05 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:10 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:15 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:20 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:25 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:30 ; 1648 ; 22,4 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:35 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:40 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:45 ; 1651 ; 22,4 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:50 ; 1648 ; 22,4 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:52:55 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:00 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:05 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:10 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:15 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:20 ; 1651 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:25 ; 1655 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:30 ; 7735 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:35 ; 8999 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:40 ; 6187 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:45 ; 5169 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:50 ; 4402 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:53:55 ; 3845 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
02/06/2023 ;18:54:00 ; 3659 ; 22,3 ; 25 ;"ATC"; 1,9 ;""
