Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
26/05/2023 ;13:36:33 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:36:38 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:36:43 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:36:48 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:36:53 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:36:58 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:03 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:08 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:13 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:18 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:23 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:28 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:33 ; 2077 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:38 ; 2075 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:43 ; 2076 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:48 ; 2222 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:53 ; 2273 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:37:58 ; 2251 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:38:03 ; 2401 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:38:08 ; 2383 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;13:38:13 ; 2350 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
