Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
26/05/2023 ;14:12:46 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:12:51 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:12:56 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:01 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:06 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:11 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:16 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:21 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:26 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:31 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:36 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:41 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:46 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:51 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:13:56 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:01 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:06 ; 2943 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:11 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:16 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:21 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:26 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:31 ; 2944 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:36 ; 2945 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:41 ; 3115 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:46 ; 3323 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:51 ; 3562 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:14:56 ; 3713 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:01 ; 3680 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:06 ; 3644 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:11 ; 3638 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:16 ; 3593 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:21 ; 3515 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:26 ; 3518 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:31 ; 3516 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:36 ; 3517 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:41 ; 3515 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:46 ; 3508 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:51 ; 3468 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;14:15:56 ; 3432 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
