Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
26/05/2023 ;10:47:31 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:47:36 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:47:41 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:47:46 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:47:51 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:47:56 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:01 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:06 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:11 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:16 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:21 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:26 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:31 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:36 ; 1661 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:41 ; 1662 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:46 ; 3536 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:51 ; 4902 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:48:56 ; 4759 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:49:01 ; 5000 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:49:06 ; 4915 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:49:11 ; 4685 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:49:16 ; 4360 ; 21,5 ; 25 ;"ATC"; 1,9 ;""
