Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
26/05/2023 ;09:55:29 ; 918,9 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:34 ; 919,8 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:39 ; 919,4 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:44 ; 920,4 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:49 ; 921,4 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:54 ; 921,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:55:59 ; 921,5 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:04 ; 921,5 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:09 ; 922 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:14 ; 922,2 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:19 ; 923 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:24 ; 923,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:29 ; 922,9 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:34 ; 923,2 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:39 ; 924 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:44 ; 924 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:49 ; 924 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:54 ; 923,7 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:56:59 ; 923,9 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:04 ; 923,8 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:09 ; 924,3 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:14 ; 932,7 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:19 ; 1012 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:24 ; 1007 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:29 ; 1009 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:34 ; 997,7 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:39 ; 988 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:44 ; 998,8 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:49 ; 1004 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:54 ; 993,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:57:59 ; 985,9 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:04 ; 997,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:09 ; 991,5 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:14 ; 991,9 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:19 ; 986,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:24 ; 986,7 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:29 ; 998,7 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:34 ; 999 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:39 ; 996 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:44 ; 996,2 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:49 ; 995,6 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:54 ; 994,2 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:58:59 ; 999,3 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:04 ; 1000 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:09 ; 996,5 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:14 ; 1009 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:19 ; 1016 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:24 ; 1014 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:29 ; 1014 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:34 ; 1023 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:39 ; 1029 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:44 ; 1055 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:49 ; 1053 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:54 ; 1052 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;09:59:59 ; 1054 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:04 ; 1061 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:09 ; 1055 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:14 ; 1061 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:19 ; 1065 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:24 ; 1074 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:29 ; 1093 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:34 ; 1099 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:39 ; 1101 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:44 ; 1104 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:49 ; 1110 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:54 ; 1112 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:00:59 ; 1113 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:01:04 ; 1122 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:01:09 ; 1127 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
26/05/2023 ;10:01:14 ; 1129 ; 21,3 ; 25 ;"ATC"; 1,9 ;""
