Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
05/06/2023 ;15:01:40 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:01:45 ; 2806 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:01:50 ; 2806 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:01:55 ; 2802 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:00 ; 2804 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:05 ; 2805 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:10 ; 2805 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:15 ; 2806 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:20 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:25 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:30 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:35 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:40 ; 2806 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:45 ; 2806 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:50 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:02:55 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:03:00 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:03:05 ; 2807 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:03:10 ; 2808 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;15:03:15 ; 2808 ; 19 ; 25 ;"ATC"; 1,9 ;""
