Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
05/06/2023 ;10:14:42 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:14:47 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:14:52 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:14:57 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:02 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:07 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:12 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:17 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:22 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:27 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:32 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:37 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:42 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:47 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:52 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:15:57 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:02 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:07 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:12 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:17 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:22 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:27 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:32 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:37 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:42 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:47 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:52 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:16:57 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:02 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:07 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:12 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:17 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:22 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:27 ; 2110 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:32 ; 2273 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:37 ; 5126 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:42 ; 4906 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:47 ; 4679 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:52 ; 4089 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:17:57 ; 4191 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:02 ; 3907 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:07 ; 3820 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:12 ; 3804 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:17 ; 3928 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:22 ; 4007 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:27 ; 3996 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:32 ; 4041 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:37 ; 3725 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:42 ; 3536 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:47 ; 3315 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:52 ; 3148 ; 19 ; 25 ;"ATC"; 1,9 ;""
05/06/2023 ;10:18:57 ; 3030 ; 19 ; 25 ;"ATC"; 1,9 ;""
