Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
31/05/2023 ;13:58:10 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:15 ; 664,8 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:20 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:25 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:30 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:35 ; 665,5 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:40 ; 665,5 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:45 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:50 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:55 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:00 ; 664,4 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:05 ; 664,4 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:10 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:15 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:20 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:25 ; 663,8 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:30 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:35 ; 664,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:40 ; 664,4 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:45 ; 695,7 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:50 ; 761,3 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:55 ; 880,4 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:00 ; 1022 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:05 ; 1135 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:10 ; 1168 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:15 ; 1160 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:20 ; 1161 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:25 ; 1131 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:30 ; 1104 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:35 ; 1091 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:40 ; 1073 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:45 ; 1087 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:50 ; 1090 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:55 ; 1099 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:00 ; 1082 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:05 ; 1056 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:10 ; 1033 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:15 ; 1003 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:20 ; 1017 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:25 ; 987,4 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:30 ; 978 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:35 ; 999 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:40 ; 1040 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:45 ; 1008 ; 23,5 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:50 ; 1000 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:55 ; 985,5 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:00 ; 970,3 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:05 ; 963,7 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:10 ; 955,9 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
