Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
31/05/2023 ;13:58:41 ; 597,3 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:46 ; 596,9 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:51 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:58:56 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:01 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:06 ; 597 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:11 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:16 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:21 ; 596,5 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:26 ; 597,4 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:31 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:36 ; 597 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:41 ; 597 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:46 ; 597,2 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:51 ; 597,1 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;13:59:56 ; 596,7 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:01 ; 597,3 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:06 ; 673,2 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:11 ; 690 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:16 ; 713,7 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:21 ; 726,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:26 ; 771,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:31 ; 864,1 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:36 ; 852,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:41 ; 816,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:46 ; 762,5 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:51 ; 738,6 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:00:56 ; 732,8 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:01 ; 741,9 ; 23,4 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:06 ; 766,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:11 ; 765,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:16 ; 767,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:21 ; 768 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:26 ; 770,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:31 ; 803,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:36 ; 794,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:41 ; 775,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:46 ; 752,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:51 ; 732,1 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:01:56 ; 727,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:01 ; 729,4 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:06 ; 731,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:11 ; 744 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:16 ; 747,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:21 ; 744,7 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:26 ; 740,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:31 ; 737,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:36 ; 737,2 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:41 ; 734 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:46 ; 726,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:51 ; 718,2 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:02:56 ; 715,3 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:01 ; 715 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:06 ; 734,2 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:11 ; 757,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:16 ; 767,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:21 ; 766,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:26 ; 767,7 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:31 ; 775,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:36 ; 768,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:41 ; 752,1 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:46 ; 740,1 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:51 ; 732,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:03:56 ; 727,5 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:04:01 ; 723,6 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:04:06 ; 718,9 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;14:04:11 ; 716,8 ; 23,3 ; 25 ;"ATC"; 1,9 ;""
