Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
31/05/2023 ;17:36:10 ; 2302 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:15 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:20 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:25 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:30 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:35 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:40 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:45 ; 2302 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:50 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:36:55 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:00 ; 2302 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:05 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:10 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:15 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:20 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:25 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:30 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:35 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:40 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:45 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:50 ; 2303 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:37:55 ; 2302 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:00 ; 2671 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:05 ; 4862 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:10 ; 4648 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:15 ; 4648 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:20 ; 4354 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:25 ; 4301 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:30 ; 4124 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:35 ; 4058 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:40 ; 3972 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:45 ; 3820 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:50 ; 3533 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:38:55 ; 3609 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:00 ; 3709 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:05 ; 3596 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:10 ; 3515 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:15 ; 3428 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:20 ; 3384 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:25 ; 3390 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:30 ; 3261 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:35 ; 3213 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:40 ; 3206 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:45 ; 3241 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:50 ; 3233 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:39:55 ; 3212 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:00 ; 3219 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:05 ; 3256 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:10 ; 3239 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:15 ; 3196 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:20 ; 3173 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:25 ; 3073 ; 23 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;17:40:30 ; 3059 ; 23 ; 25 ;"ATC"; 1,9 ;""
