Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
31/05/2023 ;16:51:48 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:51:53 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:51:58 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:03 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:08 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:13 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:18 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:23 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:28 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:33 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:38 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:43 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:48 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:53 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:52:58 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:03 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:08 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:13 ; 1972 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:18 ; 1971 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:23 ; 2008 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:28 ; 1985 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:33 ; 2005 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:38 ; 2093 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:43 ; 2340 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:48 ; 2365 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:53 ; 2328 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:53:58 ; 2284 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:03 ; 2242 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:08 ; 2216 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:13 ; 2171 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:18 ; 2163 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:23 ; 2188 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:28 ; 2284 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:33 ; 2223 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:38 ; 2181 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:43 ; 2189 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:48 ; 2219 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:53 ; 2200 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:54:58 ; 2181 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:03 ; 2172 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:08 ; 2160 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:13 ; 2152 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:18 ; 2144 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:23 ; 2184 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
31/05/2023 ;16:55:28 ; 2198 ; 22,9 ; 25 ;"ATC"; 1,9 ;""
