Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
14/04/2023 ;19:29:08 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:13 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:18 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:23 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:28 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:33 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:38 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:43 ; 305,9 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:48 ; 305,7 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:53 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:29:58 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:03 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:08 ; 306,1 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:13 ; 306,6 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:18 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:23 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:28 ; 306 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:33 ; 1581 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
14/04/2023 ;19:30:38 ; 2442 ; 25,8 ; 25 ;"ATC"; 1,9 ;""
