Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
20/04/2023 ;15:42:23 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:28 ; 767,1 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:33 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:38 ; 766,5 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:43 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:48 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:53 ; 767,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:42:58 ; 767,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:03 ; 767,9 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:08 ; 767,5 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:13 ; 767,8 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:18 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:23 ; 767,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:28 ; 767,1 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:33 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:38 ; 767,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:43 ; 767,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:48 ; 767,2 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:53 ; 767,4 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:43:58 ; 830,3 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:44:03 ; 907,7 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:44:08 ; 948,5 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:44:13 ; 1041 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:44:18 ; 1050 ; 24 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;15:44:23 ; 1027 ; 24 ; 25 ;"ATC"; 1,9 ;""
