Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
20/04/2023 ;16:27:52 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:27:57 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:02 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:07 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:12 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:17 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:22 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:27 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:32 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:37 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:42 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:47 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:52 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:28:57 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:02 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:07 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:12 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:17 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:22 ; 1349 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:27 ; 1419 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:32 ; 3044 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:37 ; 2776 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:42 ; 2267 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:47 ; 2098 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:52 ; 1923 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:29:57 ; 1849 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:02 ; 1741 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:07 ; 1670 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:12 ; 1579 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:17 ; 1568 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:22 ; 1596 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:27 ; 1814 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:32 ; 1750 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:37 ; 1743 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:42 ; 1744 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:47 ; 1726 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:52 ; 1700 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:30:57 ; 1673 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:02 ; 1658 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:07 ; 1633 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:12 ; 1622 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:17 ; 1606 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:22 ; 1608 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:27 ; 1627 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:32 ; 1656 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:37 ; 1683 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:42 ; 1694 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:47 ; 1750 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:52 ; 1776 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:31:57 ; 1762 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:02 ; 1736 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:07 ; 1713 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:12 ; 1694 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:17 ; 1673 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:22 ; 1668 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:27 ; 1661 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:32 ; 1668 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:37 ; 1744 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:42 ; 1789 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:47 ; 1766 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:52 ; 1762 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:32:57 ; 1758 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:02 ; 1751 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:07 ; 1743 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:12 ; 1733 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:17 ; 1722 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:22 ; 1724 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:27 ; 1720 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:32 ; 1718 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:37 ; 1730 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:42 ; 1740 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:47 ; 1750 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:52 ; 1754 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:33:57 ; 1756 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:02 ; 1756 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:07 ; 1767 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:12 ; 1834 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:17 ; 1804 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:22 ; 1858 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:27 ; 1843 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:32 ; 1809 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:37 ; 1785 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:42 ; 1784 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:47 ; 1796 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:52 ; 1813 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:34:57 ; 1795 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:02 ; 1796 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:07 ; 1794 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:12 ; 1792 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:17 ; 1791 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:22 ; 1799 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:27 ; 1801 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:32 ; 1807 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:37 ; 1805 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:42 ; 1803 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:47 ; 1810 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:52 ; 1814 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:35:57 ; 1817 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:36:02 ; 1822 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:36:07 ; 1821 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:36:12 ; 1819 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;16:36:17 ; 1819 ; 24,1 ; 25 ;"ATC"; 1,9 ;""
