Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
20/04/2023 ;14:12:17 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:22 ; 304,3 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:27 ; 304,3 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:32 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:37 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:42 ; 304,3 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:47 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:52 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:12:57 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:02 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:07 ; 304,5 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:12 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:17 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:22 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:27 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:32 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:37 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:42 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:47 ; 304,4 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:52 ; 3103 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:13:57 ; 2681 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:02 ; 2504 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:07 ; 2448 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:12 ; 2415 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:17 ; 2354 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:22 ; 2306 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:27 ; 2316 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:32 ; 2281 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:37 ; 2255 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:42 ; 2209 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:47 ; 2157 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:52 ; 2166 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:14:57 ; 2177 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:02 ; 2163 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:07 ; 2095 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:12 ; 1870 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:17 ; 1805 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:22 ; 1568 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:27 ; 1505 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:32 ; 1329 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:37 ; 1271 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:42 ; 1266 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:47 ; 1273 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:52 ; 1294 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:15:57 ; 1311 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:02 ; 1301 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:07 ; 1306 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:12 ; 1166 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:17 ; 1097 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:22 ; 1036 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:27 ; 1043 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:32 ; 1040 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:37 ; 1063 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:42 ; 1077 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:47 ; 1091 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:52 ; 1104 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:16:57 ; 1116 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:02 ; 1121 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:07 ; 1126 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:12 ; 1126 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:17 ; 1128 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:22 ; 1129 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:27 ; 1130 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:32 ; 1135 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:37 ; 1138 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:42 ; 1144 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:47 ; 1146 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:52 ; 1148 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:17:57 ; 1160 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:02 ; 1163 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:07 ; 1162 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:12 ; 1158 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:17 ; 1155 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:22 ; 1151 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:27 ; 1148 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;14:18:32 ; 1112 ; 24,7 ; 25 ;"ATC"; 1,9 ;""
