Date;Time; EC [ µS ];°C;Ref.Temp. [ °C ];Temp.Comp.;Temp.Coef.;Remarks
20/04/2023 ;17:56:31 ; 1680 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:56:36 ; 1679 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:56:41 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:56:46 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:56:51 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:56:56 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:01 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:06 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:11 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:16 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:21 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:26 ; 1678 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:31 ; 1692 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:36 ; 1949 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:41 ; 2007 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:46 ; 1897 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:51 ; 2014 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:57:56 ; 2134 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:01 ; 2034 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:06 ; 1991 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:11 ; 2012 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:16 ; 2053 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:21 ; 2006 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:26 ; 2030 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:31 ; 2070 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:36 ; 2075 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:41 ; 2080 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:46 ; 2086 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:51 ; 2095 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:58:56 ; 2101 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:01 ; 2105 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:06 ; 2101 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:11 ; 2127 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:16 ; 2129 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:21 ; 2130 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:26 ; 2128 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:31 ; 2128 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:36 ; 2126 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:41 ; 2122 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:46 ; 2123 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:51 ; 2123 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;17:59:56 ; 2122 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;18:00:01 ; 2118 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;18:00:06 ; 2119 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
20/04/2023 ;18:00:11 ; 2123 ; 23,6 ; 25 ;"ATC"; 1,9 ;""
